source,section,date,title,url,content,status,error
al-akhbar,lebanon,27.01.2026,هيكل يلتقي قائد المهام المشتركة للعمليات الخاصة في «سنتكوم»,https://www.al-akhbar.com/news/lebanon/877261/%D9%87%D9%8A%D9%83%D9%84-%D9%8A%D9%84%D8%AA%D9%82%D9%8A-%D9%82%D8%A7%D8%A6%D8%AF-%D9%82%D9%88%D8%A9-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D8%B4%D8%AA%D8%B1%D9%83%D8%A9-%D9%84%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D9%8A--%D8%B3%D9%86%D8%AA%D9%83,,ok,
al-akhbar,lebanon,27.01.2026,تعليق عقد إيجار «الإسكوا»... وكنعان: التوظيف العشوائي والهدر «خرب الدني»,https://www.al-akhbar.com/news/lebanon/877242/%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D8%B9%D9%82%D8%AF-%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1--%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%88%D8%A7-----%D9%88%D9%83%D9%86%D8%B9%D8%A7%D9%86--%D8%A7%D9%84%D8%AA%D9%88%D8%B8%D9%8A%D9%81-%D8%A7%D9%84%D8%B9%D8%B4%D9%88%D8%A7%D8%A6%D9%8A-%D9%88%D8%A7%D9%84%D9%87%D8%AF%D8%B1,,ok,
al-akhbar,lebanon,27.01.2026,باسيل: حزب الله يورّط لبنان بدمار جديد,https://www.al-akhbar.com/news/lebanon/877234/%D8%A8%D8%A7%D8%B3%D9%8A%D9%84--%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D9%8A%D9%88%D8%B1%D8%B7-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%A8%D8%AF%D9%85%D8%A7%D8%B1-%D8%AC%D8%AF%D9%8A%D8%AF,,ok,
al-akhbar,lebanon,27.01.2026,العلاج النفسي... من محاولة لفهم الذات إلى تجارة مزعزعة لها!,https://www.al-akhbar.com/news/lebanon/877167/%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC-%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A---%D9%85%D9%86-%D9%85%D8%AD%D8%A7%D9%88%D9%84%D8%A9-%D9%84%D9%81%D9%87%D9%85-%D8%A7%D9%84%D8%B0%D8%A7%D8%AA-%D8%A5%D9%84%D9%89-%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D9%85%D8%B2%D8%B9%D8%B2%D8%A9-%D9%84%D9%87%D8%A7,,ok,
al-akhbar,lebanon,26.01.2026,نقابة المحرّرين تستنكر استهداف العدو للصحافي علي نورالدين,https://www.al-akhbar.com/news/lebanon/877177/%D9%86%D9%82%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%B1%D8%B1%D9%8A%D9%86-%D8%AA%D8%B3%D8%AA%D9%86%D9%83%D8%B1-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A7%D9%84%D8%B9%D8%AF%D9%88-%D9%84%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D9%8A-%D8%B9%D9%84%D9%8A-%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%D9%8A%D9%86,,ok,
al-akhbar,lebanon,26.01.2026,حزب الله: اغتيال الإعلامي الشيخ علي نورالدين يُنذر بخطورة تمادي العدو,https://www.al-akhbar.com/news/lebanon/877161/%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87--%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D9%84-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85%D9%8A-%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B9%D9%84%D9%8A-%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D9%8A%D9%86%D8%B0%D8%B1-%D8%A8%D8%AE%D8%B7%D9%88%D8%B1%D8%A9-%D8%AA%D9%85%D8%A7,,ok,
al-akhbar,lebanon,26.01.2026,واشنطن: ملتزمون بدعم لبنان وإسرائيل نحو سلام مستدام,https://www.al-akhbar.com/news/lebanon/877159/%D9%88%D8%A7%D8%B4%D9%86%D8%B7%D9%86--%D9%85%D9%84%D8%AA%D8%B2%D9%85%D9%88%D9%86-%D8%A8%D8%AF%D8%B9%D9%85-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%88%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%86%D8%AD%D9%88-%D8%B3%D9%84%D8%A7%D9%85-%D9%85%D8%B3%D8%AA%D8%AF%D8%A7%D9%85,,ok,
al-akhbar,lebanon,26.01.2026,منسى يبحث مع بلاسخارت المرحلة الثانية من خطة حصر السلاح,https://www.al-akhbar.com/news/lebanon/877155/%D9%85%D9%86%D8%B3%D9%89-%D9%8A%D8%A8%D8%AD%D8%AB-%D9%85%D8%B9-%D8%A8%D9%84%D8%A7%D8%B3%D8%AE%D8%A7%D8%B1%D8%AA-%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D9%86-%D8%AE%D8%B7%D8%A9-%D8%AD%D8%B5%D8%B1-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D8%AD,,ok,
al-akhbar,lebanon,26.01.2026,حيدر يبحث مع مفوضية اللاجئين ملف العمالة الأجنبية,https://www.al-akhbar.com/news/lebanon/877153/%D8%AD%D9%8A%D8%AF%D8%B1-%D9%8A%D8%A8%D8%AD%D8%AB-%D9%85%D8%B9-%D9%85%D9%81%D9%88%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D9%85%D9%84%D9%81-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D8%AC%D9%86%D8%A8%D9%8A%D8%A9,,ok,
al-akhbar,lebanon,26.01.2026,الشيخ قاسم: نحن المستهدفون من مُهاجمة إيران ومصمّمون على الدفاع,https://www.al-akhbar.com/news/lebanon/877151/%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D9%82%D8%A7%D8%B3%D9%85--%D9%86%D8%AD%D9%86-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D9%88%D9%86-%D8%A8%D8%A3%D9%8A-%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%88%D9%85%D8%B5%D9%85%D9%85%D9%88%D9%86-%D8%B9%D9%84%D9%89-%D8%A7,,ok,
